name,rest_type,rate,num_ratings,avg_cost,online_order,table_booking,cuisines,area,local_address,area_clean,is_quick_bites,is_casual_dining,is_cafe,is_delivery,is_dessert_parlor,is_bakery,is_beverage_shop,is_bar,is_food_court,is_fine_dining,is_lounge,is_mess,is_sweet_shop,is_pub,area_avg_rating,area_avg_cost,competition_density
Hotel Pork Paradise,Quick Bites,3.7,21,300,No,No,South Indian,Rajajinagar,Mysore Road,Rajajinagar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4486486486486485,407.2972972972973,87
Hotel Prakruthi,Quick Bites,3.8,93,350,Yes,No,South Indian,Rajajinagar,Vijay Nagar,Rajajinagar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4486486486486485,407.2972972972973,87
Hotel Prashanth,Quick Bites,3.9,63,350,Yes,No,North Indian,Malleshwaram,Rajajinagar,Malleshwaram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.629601990049751,576.6666666666666,163
Hotel Raj,Quick Bites,3.6,16,250,No,No,"Andhra, Biryani",Lavelle Road,Majestic,Lavelle Road,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.630496453900709,857.8014184397163,41
Hotel Rajesh,Quick Bites,3.5,9,350,No,No,South Indian,Malleshwaram,Sadashiv Nagar,Malleshwaram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.629601990049751,576.6666666666666,163
Hotel Ramprasad,Quick Bites,4.2,93,300,Yes,No,"South Indian, Chinese",Brigade Road,Brigade Road,Brigade Road,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6842672413793105,835.1077586206897,117
Hotel Rangoon,Quick Bites,3.7,17,300,Yes,No,Burmese,Brigade Road,Ulsoor,Brigade Road,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6842672413793105,835.1077586206897,117
Hotel Raravees,Quick Bites,2.8,40,400,No,No,"North Indian, Chinese, South Indian",Indiranagar,Old Airport Road,Indiranagar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5692307692307694,667.5824175824176,130
Hotel Reddy Bhavan,Quick Bites,3.4,11,300,Yes,No,"Biryani, North Indian, Chinese, Andhra","Byresandra,Tavarekere,Madiwala",HSR,Madiwala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,316
Hotel Renowned,Quick Bites,3.3,5,200,No,No,"North Indian, Biryani",Basavanagudi,City Market,Basavanagudi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2523364485981308,395.0934579439252,110
Hotel Royal Darbar,Quick Bites,3.4,13,400,No,No,"North Indian, Chinese",Whitefield,Whitefield,Whitefield,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.512260536398468,694.4444444444445,91
Hotel Ruchi Priya,Quick Bites,3.6,21,350,Yes,No,North Indian,Basavanagudi,Wilson Garden,Basavanagudi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2523364485981308,395.0934579439252,110
Hotel Sai Renaissance,Casual Dining,3.6,32,450,Yes,Yes,"South Indian, North Indian, Chinese",Whitefield,Whitefield,Whitefield,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.512260536398468,694.4444444444445,62
Hotel Sakti Saravana,Quick Bites,3.8,67,350,Yes,No,"Tamil, South Indian",Electronic City,Electronic City,Electronic City,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3635235732009927,511.04218362282876,188
Hotel Salala,Quick Bites,3.5,18,400,Yes,No,"North Indian, South Indian, Chinese, Biryani",Brookefield,Brookefield,Brookefield,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4454926624737947,526.8343815513626,181
Hotel Salam,Quick Bites,4.1,127,400,Yes,No,"North Indian, Chinese, Biryani","Byresandra,Tavarekere,Madiwala",HSR,Madiwala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,316
Hotel Sapthagiri,Casual Dining,3.6,13,700,Yes,No,"Andhra, North Indian, Chinese",Bellandur,Marathahalli,Bellandur,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4759002770083103,542.7423822714682,101
Hotel Savaji's,Quick Bites,3.5,36,300,No,No,South Indian,Malleshwaram,Rajajinagar,Malleshwaram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.629601990049751,576.6666666666666,163
Hotel Sekar,Quick Bites,2.8,40,200,Yes,No,North Indian,Koramangala 6th Block,BTM,Koramangala 6th Block,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.356338028169014,380.28169014084506,33
Hotel Shangrila,Casual Dining,3.7,125,600,No,No,"Chinese, Momos",Lavelle Road,Brigade Road,Lavelle Road,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.630496453900709,857.8014184397163,39
Hotel Shreekshetra,Quick Bites,3.6,10,300,Yes,No,"North Indian, Chinese",Bellandur,Sarjapur Road,Bellandur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4759002770083103,542.7423822714682,118
